"","Hour","am_pm","Date","KWH","usage","weekday"
"139",10,"PM",2014-09-19,0.412,"kwh","Friday"
"140",10,"AM",2014-04-13,0.166,"kwh","Sunday"
"141",6,"AM",2014-08-21,1.166,"kwh","Thursday"
"142",3,"AM",2014-05-21,0.162,"kwh","Wednesday"
"143",5,"AM",2014-10-30,0.601,"kwh","Thursday"
"144",12,"AM",2014-12-02,0.267,"kwh","Tuesday"
"145",9,"PM",2014-06-06,0.785,"kwh","Friday"
"146",11,"AM",2014-12-30,0.446,"kwh","Tuesday"
"147",7,"PM",2014-07-15,4.277,"kwh","Tuesday"
"148",1,"AM",2014-08-25,0.226,"kwh","Monday"
"149",12,"AM",2014-08-13,0.396,"kwh","Wednesday"
"150",10,"AM",2014-02-21,0.413,"kwh","Friday"
"151",7,"PM",2014-07-22,4.277,"kwh","Tuesday"
"152",12,"AM",2014-09-02,0.172,"kwh","Tuesday"
"153",2,"AM",2014-03-14,0.152,"kwh","Friday"
"154",8,"AM",2014-02-24,0.461,"kwh","Monday"
"155",11,"AM",2014-01-20,0.93,"kwh","Monday"
"156",7,"PM",2014-07-13,4.925,"kwh","Sunday"
"157",8,"PM",2014-04-28,0.538,"kwh","Monday"
"158",9,"AM",2014-12-08,0.3,"kwh","Monday"
"159",2,"PM",2014-07-26,2.189,"kwh","Saturday"
"160",7,"AM",2014-10-31,0.556,"kwh","Friday"
"161",12,"PM",2014-05-14,0.372,"kwh","Wednesday"
"162",7,"PM",2014-01-22,3.564,"kwh","Wednesday"
"163",4,"PM",2014-09-04,0.269,"kwh","Thursday"
"164",10,"PM",2014-06-15,1.035,"kwh","Sunday"
"165",7,"AM",2014-07-19,2.909,"kwh","Saturday"
"166",2,"PM",2014-12-25,0.4,"kwh","Thursday"
"167",2,"PM",2014-01-14,0.672,"kwh","Tuesday"
"168",2,"PM",2014-12-12,0.488,"kwh","Friday"
"169",1,"PM",2014-05-22,0.317,"kwh","Thursday"
"170",1,"AM",2014-01-31,0.436,"kwh","Friday"
"171",3,"AM",2014-07-20,0.806,"kwh","Sunday"
"172",4,"AM",2014-12-12,0.176,"kwh","Friday"
"173",4,"PM",2014-10-06,0.288,"kwh","Monday"
"174",4,"AM",2014-01-29,0.324,"kwh","Wednesday"
"175",7,"AM",2014-06-28,2.354,"kwh","Saturday"
"176",5,"PM",2014-01-30,2.73,"kwh","Thursday"
"177",8,"AM",2014-10-24,0.24,"kwh","Friday"
"178",3,"PM",2014-10-27,0.286,"kwh","Monday"
"179",2,"AM",2014-05-24,0.204,"kwh","Saturday"
"180",4,"PM",2014-06-02,0.756,"kwh","Monday"
"181",1,"PM",2014-05-02,0.304,"kwh","Friday"
"182",3,"AM",2014-06-07,0.437,"kwh","Saturday"
"183",6,"PM",2014-07-31,3.494,"kwh","Thursday"
"184",5,"PM",2014-12-17,1.187,"kwh","Wednesday"
"185",9,"AM",2014-03-01,0.864,"kwh","Saturday"
"186",8,"AM",2014-06-01,2.083,"kwh","Sunday"
"187",2,"PM",2014-08-11,0.514,"kwh","Monday"
"188",12,"PM",2014-06-01,0.94,"kwh","Sunday"
"189",9,"PM",2014-04-05,0.113,"kwh","Saturday"
"190",12,"AM",2014-09-06,0.655,"kwh","Saturday"
"191",7,"PM",2014-11-29,0.689,"kwh","Saturday"
"192",8,"PM",2014-04-13,0.524,"kwh","Sunday"
"193",10,"PM",2014-10-06,0.288,"kwh","Monday"
"194",12,"AM",2014-08-19,0.346,"kwh","Tuesday"
"195",4,"AM",2014-04-28,0.061,"kwh","Monday"
"196",11,"PM",2014-10-24,0.648,"kwh","Friday"
"197",7,"AM",2014-04-15,0.216,"kwh","Tuesday"
"198",10,"PM",2014-05-24,0.368,"kwh","Saturday"
"199",8,"AM",2014-04-15,0.108,"kwh","Tuesday"
"200",6,"AM",2014-07-14,3.168,"kwh","Monday"
"201",3,"AM",2014-06-23,0.32,"kwh","Monday"
"202",4,"PM",2014-02-13,0.523,"kwh","Thursday"
"203",6,"PM",2014-11-17,0.662,"kwh","Monday"
"204",8,"AM",2014-01-27,0.864,"kwh","Monday"
"205",10,"AM",2014-07-22,1.133,"kwh","Tuesday"
"206",2,"AM",2014-01-19,0.684,"kwh","Sunday"
"207",6,"PM",2014-01-25,3.492,"kwh","Saturday"
"208",9,"AM",2014-10-31,0.173,"kwh","Friday"
"209",5,"AM",2014-10-05,0.212,"kwh","Sunday"
"210",5,"AM",2014-01-26,0.618,"kwh","Sunday"
"211",1,"AM",2014-02-19,0.233,"kwh","Wednesday"
"212",11,"AM",2014-01-24,1.1,"kwh","Friday"
"213",5,"PM",2014-03-28,1.009,"kwh","Friday"
"214",7,"PM",2014-09-07,1.474,"kwh","Sunday"
"215",3,"AM",2014-09-19,0.155,"kwh","Friday"
"216",9,"PM",2014-06-22,1.069,"kwh","Sunday"
"217",2,"PM",2014-03-24,0.307,"kwh","Monday"
"218",7,"PM",2014-01-05,4.068,"kwh","Sunday"
"219",9,"AM",2014-11-05,0.109,"kwh","Wednesday"
"220",6,"PM",2014-06-23,2.041,"kwh","Monday"
"221",6,"AM",2014-06-16,2.225,"kwh","Monday"
"222",9,"AM",2014-04-07,0.082,"kwh","Monday"
"223",4,"AM",2014-05-13,0.186,"kwh","Tuesday"
"224",10,"PM",2014-11-27,0.207,"kwh","Thursday"
"225",9,"AM",2014-06-21,1.49,"kwh","Saturday"
"226",2,"AM",2014-03-04,0.15,"kwh","Tuesday"
"227",2,"PM",2014-01-12,1.824,"kwh","Sunday"
"228",7,"AM",2014-03-19,0.799,"kwh","Wednesday"
"229",8,"AM",2014-06-14,2.574,"kwh","Saturday"
"230",3,"PM",2014-12-14,0.842,"kwh","Sunday"
"231",12,"PM",2014-03-12,0.348,"kwh","Wednesday"
"232",7,"AM",2014-02-24,0.95,"kwh","Monday"
"233",6,"PM",2014-09-21,1.21,"kwh","Sunday"
"234",8,"PM",2014-01-08,2.56,"kwh","Wednesday"
"235",5,"AM",2014-11-09,0.149,"kwh","Sunday"
"236",8,"AM",2014-08-01,0.418,"kwh","Friday"
"237",4,"PM",2014-04-16,0.121,"kwh","Wednesday"
"238",7,"PM",2014-09-01,1.197,"kwh","Monday"
"239",3,"AM",2014-11-04,0.084,"kwh","Tuesday"
"240",6,"PM",2014-11-10,0.687,"kwh","Monday"
"241",12,"AM",2014-12-31,0.36,"kwh","Wednesday"
"242",3,"AM",2014-03-22,0.24,"kwh","Saturday"
"243",9,"AM",2014-06-19,0.437,"kwh","Thursday"
"244",1,"AM",2014-03-26,0.149,"kwh","Wednesday"
"245",4,"AM",2014-02-03,0.283,"kwh","Monday"
"246",1,"PM",2014-09-11,0.23,"kwh","Thursday"
"247",9,"AM",2014-06-26,0.637,"kwh","Thursday"
"248",6,"PM",2014-08-07,1.478,"kwh","Thursday"
"249",12,"PM",2014-10-04,0.432,"kwh","Saturday"
"250",6,"AM",2014-06-20,2.441,"kwh","Friday"
"251",7,"AM",2014-08-17,1.44,"kwh","Sunday"
"252",11,"PM",2014-07-08,1.188,"kwh","Tuesday"
"253",9,"AM",2014-02-21,0.4,"kwh","Friday"
"254",8,"AM",2014-10-06,0.262,"kwh","Monday"
"255",12,"PM",2014-04-22,0.147,"kwh","Tuesday"
"256",2,"AM",2014-02-04,0.264,"kwh","Tuesday"
"257",8,"PM",2014-09-08,0.986,"kwh","Monday"
"258",2,"PM",2014-12-06,0.862,"kwh","Saturday"
"259",8,"AM",2014-03-24,0.349,"kwh","Monday"
"260",12,"AM",2014-06-12,0.432,"kwh","Thursday"
"261",9,"PM",2014-11-23,0.311,"kwh","Sunday"
"262",11,"AM",2014-04-27,0.169,"kwh","Sunday"
"263",8,"AM",2014-01-08,0.912,"kwh","Wednesday"
"264",8,"PM",2014-04-18,0.576,"kwh","Friday"
"265",7,"AM",2014-09-17,0.542,"kwh","Wednesday"
"266",8,"PM",2014-08-31,2.095,"kwh","Sunday"
"267",1,"AM",2014-12-24,0.255,"kwh","Wednesday"
"268",6,"PM",2014-05-25,1.267,"kwh","Sunday"
"269",1,"PM",2014-06-13,0.583,"kwh","Friday"
"270",9,"PM",2014-11-18,0.308,"kwh","Tuesday"
"271",3,"PM",2014-11-10,0.176,"kwh","Monday"
"272",10,"PM",2014-01-23,1.07,"kwh","Thursday"
"273",2,"PM",2014-07-13,1.92,"kwh","Sunday"
"274",11,"AM",2014-07-09,1.14,"kwh","Wednesday"
"275",10,"AM",2014-08-03,0.677,"kwh","Sunday"
"276",4,"PM",2014-08-05,0.557,"kwh","Tuesday"
"277",2,"AM",2014-02-28,0.211,"kwh","Friday"
"278",1,"PM",2014-03-24,0.288,"kwh","Monday"
"279",12,"AM",2014-04-27,0.283,"kwh","Sunday"
"280",1,"AM",2014-07-03,0.494,"kwh","Thursday"
"281",2,"AM",2014-01-08,0.444,"kwh","Wednesday"
"282",5,"AM",2014-01-24,2.178,"kwh","Friday"
"283",11,"AM",2014-05-03,0.403,"kwh","Saturday"
"284",9,"AM",2014-07-19,2.506,"kwh","Saturday"
"285",5,"AM",2014-12-25,1.379,"kwh","Thursday"
"286",10,"AM",2014-12-05,0.493,"kwh","Friday"
"287",2,"PM",2014-01-22,0.712,"kwh","Wednesday"
"288",2,"PM",2014-07-09,1.152,"kwh","Wednesday"
"289",10,"AM",2014-08-20,0.466,"kwh","Wednesday"
"290",9,"AM",2014-09-06,0.743,"kwh","Saturday"
"291",5,"PM",2014-05-02,0.874,"kwh","Friday"
"292",9,"AM",2014-11-01,0.369,"kwh","Saturday"
"293",10,"AM",2014-06-01,1.037,"kwh","Sunday"
"294",11,"PM",2014-03-17,0.388,"kwh","Monday"
"295",2,"AM",2014-11-10,0.098,"kwh","Monday"
"296",8,"AM",2014-07-09,0.95,"kwh","Wednesday"
"297",11,"PM",2014-08-24,0.546,"kwh","Sunday"
"298",9,"AM",2014-07-30,0.778,"kwh","Wednesday"
"299",6,"PM",2014-06-20,2.948,"kwh","Friday"
"300",7,"PM",2014-11-11,0.705,"kwh","Tuesday"
"301",4,"AM",2014-06-28,0.486,"kwh","Saturday"
"302",11,"AM",2014-04-28,0.147,"kwh","Monday"
"303",9,"AM",2014-01-07,0.552,"kwh","Tuesday"
"304",2,"PM",2014-02-24,0.466,"kwh","Monday"
"305",11,"AM",2014-02-23,0.634,"kwh","Sunday"
"306",2,"AM",2014-03-19,0.176,"kwh","Wednesday"
"307",11,"AM",2014-01-06,1.11,"kwh","Monday"
"308",3,"AM",2014-12-29,0.196,"kwh","Monday"
"309",8,"AM",2014-12-15,0.449,"kwh","Monday"
"310",4,"PM",2014-11-26,0.148,"kwh","Wednesday"
"311",11,"AM",2014-06-09,0.792,"kwh","Monday"
"312",7,"PM",2014-05-13,1.44,"kwh","Tuesday"
"313",3,"PM",2014-08-10,1.156,"kwh","Sunday"
"314",7,"PM",2014-09-13,1.071,"kwh","Saturday"
"315",7,"PM",2014-09-06,1.184,"kwh","Saturday"
"316",7,"PM",2014-12-05,2.178,"kwh","Friday"
"317",9,"AM",2014-05-06,0.238,"kwh","Tuesday"
"318",12,"AM",2014-07-20,1.901,"kwh","Sunday"
"319",10,"PM",2014-11-02,0.212,"kwh","Sunday"
"320",8,"PM",2014-03-14,1.408,"kwh","Friday"
"321",8,"AM",2014-04-23,0.112,"kwh","Wednesday"
"322",4,"AM",2014-04-24,0.071,"kwh","Thursday"
"323",7,"AM",2014-01-03,1.8,"kwh","Friday"
"324",2,"AM",2014-06-03,0.36,"kwh","Tuesday"
"325",7,"AM",2014-10-22,0.47,"kwh","Wednesday"
"326",11,"PM",2014-02-13,0.618,"kwh","Thursday"
"327",1,"AM",2014-04-28,0.058,"kwh","Monday"
"328",3,"PM",2014-07-15,1.066,"kwh","Tuesday"
"329",8,"PM",2014-05-18,1.44,"kwh","Sunday"
"330",8,"PM",2014-06-27,2.851,"kwh","Friday"
"331",9,"PM",2014-03-09,0.528,"kwh","Sunday"
"332",8,"PM",2014-11-28,0.864,"kwh","Friday"
