"","Hour","am_pm","Date","KWH","usage","weekday"
"4109",10,"AM",2014-10-21,0.226,"kwh","Tuesday"
"4110",3,"PM",2014-08-16,1.242,"kwh","Saturday"
"4111",1,"PM",2014-01-08,0.904,"kwh","Wednesday"
"4112",7,"AM",2014-02-21,1.199,"kwh","Friday"
"4113",10,"PM",2014-12-01,0.644,"kwh","Monday"
"4114",10,"PM",2014-02-19,0.666,"kwh","Wednesday"
"4115",5,"PM",2014-11-24,0.62,"kwh","Monday"
"4116",12,"PM",2014-03-04,0.396,"kwh","Tuesday"
"4117",7,"AM",2014-12-27,1.228,"kwh","Saturday"
"4118",7,"PM",2014-06-28,3.758,"kwh","Saturday"
"4119",11,"AM",2014-11-14,0.191,"kwh","Friday"
"4120",11,"PM",2014-07-10,1.152,"kwh","Thursday"
"4121",6,"AM",2014-05-05,0.778,"kwh","Monday"
"4122",9,"AM",2014-05-05,0.274,"kwh","Monday"
"4123",7,"PM",2014-07-11,4.882,"kwh","Friday"
"4124",8,"PM",2014-11-01,0.972,"kwh","Saturday"
"4125",7,"PM",2014-12-19,2.376,"kwh","Friday"
"4126",7,"PM",2014-04-29,0.648,"kwh","Tuesday"
"4127",11,"PM",2014-09-16,0.322,"kwh","Tuesday"
"4128",6,"PM",2014-02-18,1.596,"kwh","Tuesday"
"4129",2,"AM",2014-07-13,0.583,"kwh","Sunday"
"4130",5,"AM",2014-01-30,2.552,"kwh","Thursday"
"4131",1,"AM",2014-11-29,0.159,"kwh","Saturday"
"4132",10,"PM",2014-04-29,0.176,"kwh","Tuesday"
"4133",12,"AM",2014-10-25,0.557,"kwh","Saturday"
"4134",8,"PM",2014-03-02,1.685,"kwh","Sunday"
"4135",6,"PM",2014-06-07,3.532,"kwh","Saturday"
"4136",1,"AM",2014-05-22,0.182,"kwh","Thursday"
"4137",10,"PM",2014-10-13,0.351,"kwh","Monday"
"4138",11,"PM",2014-08-02,1.224,"kwh","Saturday"
"4139",10,"AM",2014-04-04,0.14,"kwh","Friday"
"4140",9,"PM",2014-04-18,0.12,"kwh","Friday"
"4141",2,"PM",2014-02-07,0.394,"kwh","Friday"
"4142",11,"AM",2014-03-23,0.432,"kwh","Sunday"
"4143",12,"AM",2014-04-20,0.286,"kwh","Sunday"
"4144",6,"AM",2014-01-20,2.64,"kwh","Monday"
"4145",11,"PM",2014-09-04,0.326,"kwh","Thursday"
"4146",6,"PM",2014-04-30,0.357,"kwh","Wednesday"
"4147",5,"PM",2014-04-18,0.402,"kwh","Friday"
"4148",3,"AM",2014-07-03,0.422,"kwh","Thursday"
"4149",3,"PM",2014-04-17,0.106,"kwh","Thursday"
"4150",5,"PM",2014-08-22,1.654,"kwh","Friday"
"4151",8,"AM",2014-04-21,0.127,"kwh","Monday"
"4152",7,"AM",2014-04-01,0.216,"kwh","Tuesday"
"4153",1,"AM",2014-06-20,0.364,"kwh","Friday"
"4154",4,"PM",2014-10-28,0.288,"kwh","Tuesday"
"4155",9,"PM",2014-08-29,0.499,"kwh","Friday"
"4156",10,"PM",2014-08-22,0.781,"kwh","Friday"
"4157",4,"PM",2014-10-10,0.24,"kwh","Friday"
"4158",3,"PM",2014-05-02,0.381,"kwh","Friday"
"4159",12,"PM",2014-12-28,0.581,"kwh","Sunday"
"4160",12,"AM",2014-06-07,1.714,"kwh","Saturday"
"4161",12,"AM",2014-12-14,0.898,"kwh","Sunday"
"4162",10,"AM",2014-05-10,0.547,"kwh","Saturday"
"4163",9,"PM",2014-06-20,0.727,"kwh","Friday"
"4164",7,"PM",2014-01-29,2.88,"kwh","Wednesday"
"4165",10,"PM",2014-09-09,0.312,"kwh","Tuesday"
"4166",4,"AM",2014-02-14,0.238,"kwh","Friday"
"4167",10,"AM",2014-04-14,0.097,"kwh","Monday"
"4168",8,"AM",2014-12-10,0.392,"kwh","Wednesday"
"4169",6,"AM",2014-08-01,1.483,"kwh","Friday"
"4170",5,"PM",2014-11-13,0.661,"kwh","Thursday"
"4171",4,"PM",2014-02-07,0.446,"kwh","Friday"
"4172",12,"AM",2014-11-10,0.157,"kwh","Monday"
"4173",6,"PM",2014-06-04,2.419,"kwh","Wednesday"
"4174",10,"AM",2014-08-18,0.514,"kwh","Monday"
"4175",4,"PM",2014-10-03,0.228,"kwh","Friday"
"4176",6,"AM",2014-08-04,1.368,"kwh","Monday"
"4177",7,"AM",2014-04-02,0.289,"kwh","Wednesday"
"4178",10,"PM",2014-09-17,0.413,"kwh","Wednesday"
"4179",6,"AM",2014-11-13,0.551,"kwh","Thursday"
"4180",11,"PM",2014-04-20,0.132,"kwh","Sunday"
"4181",1,"AM",2014-02-20,0.262,"kwh","Thursday"
"4182",9,"AM",2014-06-06,0.508,"kwh","Friday"
"4183",8,"PM",2014-09-27,1.386,"kwh","Saturday"
"4184",9,"PM",2014-08-24,0.684,"kwh","Sunday"
"4185",10,"PM",2014-07-22,1.212,"kwh","Tuesday"
"4186",4,"AM",2014-11-30,0.13,"kwh","Sunday"
"4187",7,"PM",2014-12-04,2.099,"kwh","Thursday"
"4188",1,"AM",2014-10-12,0.212,"kwh","Sunday"
"4189",7,"AM",2014-01-20,2.016,"kwh","Monday"
"4190",7,"AM",2014-08-21,1.274,"kwh","Thursday"
"4191",8,"AM",2014-01-05,2.99,"kwh","Sunday"
"4192",7,"PM",2014-06-01,3.694,"kwh","Sunday"
"4193",2,"AM",2014-02-08,0.371,"kwh","Saturday"
"4194",3,"PM",2014-01-06,0.808,"kwh","Monday"
"4195",6,"AM",2014-10-27,0.734,"kwh","Monday"
"4196",4,"PM",2014-09-23,0.302,"kwh","Tuesday"
"4197",11,"AM",2014-12-21,0.554,"kwh","Sunday"
"4198",2,"PM",2014-02-26,0.523,"kwh","Wednesday"
"4199",4,"PM",2014-10-25,0.535,"kwh","Saturday"
"4200",2,"PM",2014-11-12,0.153,"kwh","Wednesday"
"4201",7,"PM",2014-09-27,1.399,"kwh","Saturday"
"4202",9,"AM",2014-09-10,0.248,"kwh","Wednesday"
"4203",9,"PM",2014-10-28,0.392,"kwh","Tuesday"
"4204",3,"PM",2014-07-24,1.066,"kwh","Thursday"
"4205",4,"AM",2014-04-11,0.072,"kwh","Friday"
"4206",4,"AM",2014-03-05,0.162,"kwh","Wednesday"
"4207",10,"PM",2014-04-13,0.141,"kwh","Sunday"
"4208",1,"AM",2014-12-16,0.233,"kwh","Tuesday"
"4209",8,"PM",2014-06-11,2.707,"kwh","Wednesday"
"4210",10,"AM",2014-02-18,0.398,"kwh","Tuesday"
"4211",2,"PM",2014-06-28,1.469,"kwh","Saturday"
"4212",6,"AM",2014-03-01,0.717,"kwh","Saturday"
"4213",9,"PM",2014-03-10,0.408,"kwh","Monday"
"4214",10,"PM",2014-12-16,0.655,"kwh","Tuesday"
"4215",11,"PM",2014-04-04,0.27,"kwh","Friday"
"4216",6,"AM",2014-01-28,2.688,"kwh","Tuesday"
"4217",11,"PM",2014-05-20,0.356,"kwh","Tuesday"
"4218",5,"PM",2014-07-12,2.117,"kwh","Saturday"
"4219",9,"AM",2014-02-25,0.335,"kwh","Tuesday"
"4220",8,"PM",2014-04-27,0.443,"kwh","Sunday"
"4221",2,"AM",2014-06-29,0.529,"kwh","Sunday"
"4222",12,"PM",2014-02-27,0.498,"kwh","Thursday"
"4223",7,"AM",2014-09-15,0.636,"kwh","Monday"
"4224",8,"PM",2014-06-09,3.197,"kwh","Monday"
"4225",9,"PM",2014-08-02,0.461,"kwh","Saturday"
"4226",3,"AM",2014-04-25,0.055,"kwh","Friday"
"4227",7,"AM",2014-05-12,0.662,"kwh","Monday"
"4228",5,"PM",2014-09-13,0.617,"kwh","Saturday"
"4229",12,"AM",2014-01-19,1.296,"kwh","Sunday"
"4230",4,"AM",2014-01-19,0.564,"kwh","Sunday"
"4231",1,"PM",2014-12-13,0.653,"kwh","Saturday"
"4232",8,"AM",2014-02-26,0.394,"kwh","Wednesday"
"4233",11,"PM",2014-08-15,1.068,"kwh","Friday"
"4234",5,"AM",2014-09-22,0.678,"kwh","Monday"
"4235",3,"AM",2014-03-31,0.134,"kwh","Monday"
"4236",2,"PM",2014-07-22,0.922,"kwh","Tuesday"
"4237",6,"PM",2014-01-15,2.576,"kwh","Wednesday"
"4238",10,"PM",2014-08-25,0.6,"kwh","Monday"
"4239",6,"AM",2014-08-24,1.056,"kwh","Sunday"
"4240",9,"PM",2014-02-26,0.655,"kwh","Wednesday"
"4241",10,"AM",2014-09-28,0.378,"kwh","Sunday"
"4242",2,"PM",2014-09-15,0.252,"kwh","Monday"
"4243",5,"PM",2014-10-21,0.866,"kwh","Tuesday"
"4244",3,"PM",2014-06-27,0.727,"kwh","Friday"
"4245",2,"AM",2014-07-10,0.499,"kwh","Thursday"
"4246",2,"PM",2014-10-20,0.247,"kwh","Monday"
"4247",12,"PM",2014-04-02,0.125,"kwh","Wednesday"
"4248",11,"PM",2014-07-04,2.184,"kwh","Friday"
"4249",2,"PM",2014-12-31,0.488,"kwh","Wednesday"
"4250",4,"AM",2014-10-02,0.108,"kwh","Thursday"
"4251",1,"PM",2014-06-02,0.605,"kwh","Monday"
"4252",11,"AM",2014-02-04,0.612,"kwh","Tuesday"
"4253",8,"AM",2014-06-23,0.85,"kwh","Monday"
"4254",1,"AM",2014-01-21,0.34,"kwh","Tuesday"
"4255",1,"AM",2014-04-08,0.071,"kwh","Tuesday"
"4256",3,"AM",2014-11-20,0.097,"kwh","Thursday"
"4257",9,"AM",2014-08-29,0.374,"kwh","Friday"
"4258",6,"AM",2014-09-05,0.958,"kwh","Friday"
"4259",6,"PM",2014-04-07,0.458,"kwh","Monday"
"4260",9,"PM",2014-10-22,0.364,"kwh","Wednesday"
"4261",2,"AM",2014-12-18,0.249,"kwh","Thursday"
"4262",5,"AM",2014-01-20,2.09,"kwh","Monday"
"4263",10,"AM",2014-12-17,0.502,"kwh","Wednesday"
"4264",4,"PM",2014-09-18,0.294,"kwh","Thursday"
"4265",2,"AM",2014-03-24,0.162,"kwh","Monday"
"4266",2,"PM",2014-10-19,0.518,"kwh","Sunday"
"4267",6,"PM",2014-11-30,0.834,"kwh","Sunday"
"4268",4,"AM",2014-09-05,0.141,"kwh","Friday"
"4269",11,"AM",2014-12-28,0.7,"kwh","Sunday"
"4270",11,"AM",2014-05-14,0.368,"kwh","Wednesday"
"4271",3,"PM",2014-08-06,0.538,"kwh","Wednesday"
"4272",6,"AM",2014-01-19,1.888,"kwh","Sunday"
"4273",11,"AM",2014-02-10,0.54,"kwh","Monday"
"4274",4,"PM",2014-09-27,0.712,"kwh","Saturday"
"4275",7,"PM",2014-02-28,2.419,"kwh","Friday"
"4276",11,"AM",2014-12-09,0.589,"kwh","Tuesday"
"4277",8,"PM",2014-04-05,0.491,"kwh","Saturday"
"4278",2,"PM",2014-12-22,0.484,"kwh","Monday"
"4279",7,"AM",2014-10-26,0.72,"kwh","Sunday"
"4280",7,"PM",2014-11-24,0.794,"kwh","Monday"
"4281",9,"AM",2014-02-09,1.102,"kwh","Sunday"
"4282",5,"PM",2014-09-15,1.037,"kwh","Monday"
"4283",11,"PM",2014-12-07,0.446,"kwh","Sunday"
"4284",10,"PM",2014-03-25,0.404,"kwh","Tuesday"
"4285",7,"AM",2014-02-11,1.285,"kwh","Tuesday"
"4286",9,"PM",2014-03-26,0.475,"kwh","Wednesday"
"4287",12,"AM",2014-09-07,0.504,"kwh","Sunday"
"4288",10,"PM",2014-07-07,1.056,"kwh","Monday"
"4289",6,"PM",2014-05-14,0.986,"kwh","Wednesday"
"4290",6,"PM",2014-11-24,0.693,"kwh","Monday"
"4291",5,"PM",2014-07-08,3.307,"kwh","Tuesday"
"4292",9,"AM",2014-07-22,0.662,"kwh","Tuesday"
"4293",2,"PM",2014-06-07,1.195,"kwh","Saturday"
"4294",9,"AM",2014-11-29,0.373,"kwh","Saturday"
"4295",1,"AM",2014-07-27,0.828,"kwh","Sunday"
"4296",9,"AM",2014-08-30,0.994,"kwh","Saturday"
"4297",2,"PM",2014-05-04,0.768,"kwh","Sunday"
"4298",7,"AM",2014-07-22,2.268,"kwh","Tuesday"
"4299",1,"AM",2014-06-01,0.443,"kwh","Sunday"
"4300",4,"PM",2014-10-14,0.288,"kwh","Tuesday"
"4301",12,"PM",2014-01-24,1.13,"kwh","Friday"
"4302",3,"AM",2014-07-23,0.446,"kwh","Wednesday"
"4303",8,"PM",2014-02-06,2.131,"kwh","Thursday"
"4304",12,"AM",2014-04-23,0.088,"kwh","Wednesday"
"4305",12,"PM",2014-09-10,0.322,"kwh","Wednesday"
"4306",2,"PM",2014-05-24,0.602,"kwh","Saturday"
"4307",11,"PM",2014-03-15,0.688,"kwh","Saturday"
"4308",5,"PM",2014-02-08,1.091,"kwh","Saturday"
"4309",6,"PM",2014-08-09,2.268,"kwh","Saturday"
"4310",4,"AM",2014-02-28,0.218,"kwh","Friday"
"4311",8,"AM",2014-08-27,0.576,"kwh","Wednesday"
"4312",5,"AM",2014-03-26,0.95,"kwh","Wednesday"
"4313",1,"PM",2014-11-09,0.286,"kwh","Sunday"
"4314",6,"PM",2014-07-12,4.32,"kwh","Saturday"
"4315",6,"PM",2014-10-09,0.89,"kwh","Thursday"
"4316",11,"AM",2014-03-29,0.408,"kwh","Saturday"
"4317",2,"PM",2014-09-11,0.246,"kwh","Thursday"
"4318",2,"AM",2014-12-15,0.218,"kwh","Monday"
"4319",9,"PM",2014-11-02,0.289,"kwh","Sunday"
"4320",8,"AM",2014-04-16,0.138,"kwh","Wednesday"
"4321",2,"PM",2014-05-13,0.349,"kwh","Tuesday"
"4322",9,"PM",2014-03-04,0.389,"kwh","Tuesday"
"4323",10,"AM",2014-02-10,0.49,"kwh","Monday"
"4324",11,"PM",2014-11-25,0.196,"kwh","Tuesday"
"4325",3,"AM",2014-10-28,0.115,"kwh","Tuesday"
"4326",4,"PM",2014-07-22,0.893,"kwh","Tuesday"
"4327",1,"PM",2014-01-30,0.96,"kwh","Thursday"
"4328",11,"AM",2014-01-14,0.92,"kwh","Tuesday"
"4329",5,"PM",2014-08-12,1.81,"kwh","Tuesday"
"4330",12,"AM",2014-10-01,0.149,"kwh","Wednesday"
"4331",2,"PM",2014-08-06,0.499,"kwh","Wednesday"
"4332",3,"AM",2014-11-25,0.076,"kwh","Tuesday"
"4333",4,"PM",2014-06-01,1.669,"kwh","Sunday"
"4334",4,"PM",2014-05-04,0.713,"kwh","Sunday"
"4335",4,"AM",2014-04-19,0.081,"kwh","Saturday"
"4336",6,"PM",2014-11-05,0.643,"kwh","Wednesday"
"4337",11,"AM",2014-08-17,0.742,"kwh","Sunday"
"4338",5,"PM",2014-10-18,0.459,"kwh","Saturday"
"4339",8,"PM",2014-02-13,1.824,"kwh","Thursday"
"4340",10,"AM",2014-01-14,0.648,"kwh","Tuesday"
"4341",9,"PM",2014-08-23,0.533,"kwh","Saturday"
"4342",11,"PM",2014-01-15,0.86,"kwh","Wednesday"
"4343",1,"AM",2014-11-23,0.147,"kwh","Sunday"
"4344",3,"AM",2014-04-14,0.064,"kwh","Monday"
"4345",11,"PM",2014-09-03,0.333,"kwh","Wednesday"
"4346",9,"PM",2014-04-25,0.132,"kwh","Friday"
"4347",6,"PM",2014-01-31,3.052,"kwh","Friday"
"4348",5,"AM",2014-03-17,1.012,"kwh","Monday"
"4349",5,"PM",2014-03-15,0.742,"kwh","Saturday"
"4350",11,"AM",2014-07-24,1.32,"kwh","Thursday"
"4351",6,"PM",2014-08-29,1.915,"kwh","Friday"
"4352",9,"PM",2014-03-18,0.504,"kwh","Tuesday"
"4353",3,"AM",2014-10-24,0.113,"kwh","Friday"
"4354",4,"AM",2014-04-13,0.098,"kwh","Sunday"
"4355",3,"PM",2014-07-19,2.527,"kwh","Saturday"
"4356",3,"AM",2014-04-13,0.099,"kwh","Sunday"
"4357",9,"PM",2014-12-11,0.772,"kwh","Thursday"
"4358",7,"AM",2014-08-12,0.961,"kwh","Tuesday"
"4359",10,"AM",2014-08-05,0.446,"kwh","Tuesday"
"4360",8,"PM",2014-05-12,1.242,"kwh","Monday"
"4361",1,"AM",2014-03-13,0.17,"kwh","Thursday"
"4362",4,"AM",2014-08-27,0.24,"kwh","Wednesday"
"4363",11,"PM",2014-12-14,0.55,"kwh","Sunday"
"4364",1,"AM",2014-12-21,0.323,"kwh","Sunday"
"4365",7,"PM",2014-05-01,1.31,"kwh","Thursday"
"4366",5,"PM",2014-02-04,1.373,"kwh","Tuesday"
"4367",7,"AM",2014-05-20,0.742,"kwh","Tuesday"
"4368",10,"PM",2014-12-21,0.583,"kwh","Sunday"
"4369",1,"AM",2014-09-27,0.189,"kwh","Saturday"
"4370",12,"AM",2014-10-24,0.182,"kwh","Friday"
"4371",5,"PM",2014-02-01,1.285,"kwh","Saturday"
"4372",3,"PM",2014-11-07,0.216,"kwh","Friday"
"4373",3,"AM",2014-08-01,0.264,"kwh","Friday"
"4374",8,"AM",2014-10-10,0.206,"kwh","Friday"
"4375",5,"PM",2014-09-09,0.774,"kwh","Tuesday"
"4376",8,"AM",2014-03-30,0.946,"kwh","Sunday"
"4377",12,"AM",2014-01-15,0.618,"kwh","Wednesday"
"4378",4,"PM",2014-02-19,0.408,"kwh","Wednesday"
"4379",1,"PM",2014-02-15,0.655,"kwh","Saturday"
"4380",11,"PM",2014-07-26,2.328,"kwh","Saturday"
"4381",4,"AM",2014-06-04,0.428,"kwh","Wednesday"
"4382",11,"AM",2014-11-02,0.259,"kwh","Sunday"
"4383",6,"PM",2014-11-14,0.687,"kwh","Friday"
"4384",3,"PM",2014-05-24,0.59,"kwh","Saturday"
"4385",6,"AM",2014-07-07,2.938,"kwh","Monday"
"4386",11,"AM",2014-04-17,0.122,"kwh","Thursday"
"4387",7,"AM",2014-02-27,1.091,"kwh","Thursday"
"4388",1,"AM",2014-09-26,0.164,"kwh","Friday"
"4389",1,"PM",2014-05-11,0.475,"kwh","Sunday"
"4390",5,"PM",2014-10-08,0.733,"kwh","Wednesday"
"4391",10,"AM",2014-05-24,0.451,"kwh","Saturday"
"4392",3,"AM",2014-08-02,0.367,"kwh","Saturday"
"4393",2,"AM",2014-09-17,0.115,"kwh","Wednesday"
"4394",7,"AM",2014-08-14,0.95,"kwh","Thursday"
"4395",7,"AM",2014-11-09,0.632,"kwh","Sunday"
"4396",9,"AM",2014-05-15,0.197,"kwh","Thursday"
"4397",12,"AM",2014-08-08,0.367,"kwh","Friday"
"4398",1,"AM",2014-10-05,0.211,"kwh","Sunday"
"4399",5,"PM",2014-03-03,0.988,"kwh","Monday"
"4400",5,"PM",2014-05-18,0.619,"kwh","Sunday"
"4401",3,"PM",2014-03-14,0.378,"kwh","Friday"
"4402",5,"AM",2014-07-04,3.062,"kwh","Friday"
"4403",7,"PM",2014-01-11,3.888,"kwh","Saturday"
"4404",3,"PM",2014-05-04,0.605,"kwh","Sunday"
"4405",5,"AM",2014-12-17,1.004,"kwh","Wednesday"
"4406",11,"PM",2014-12-28,0.512,"kwh","Sunday"
"4407",2,"PM",2014-04-17,0.142,"kwh","Thursday"
"4408",7,"PM",2014-02-10,2.117,"kwh","Monday"
"4409",8,"AM",2014-07-11,0.902,"kwh","Friday"
"4410",5,"AM",2014-09-08,0.67,"kwh","Monday"
"4411",12,"PM",2014-03-30,0.408,"kwh","Sunday"
"4412",7,"AM",2014-06-16,1.312,"kwh","Monday"
"4413",5,"PM",2014-03-31,0.832,"kwh","Monday"
"4414",2,"AM",2014-03-31,0.162,"kwh","Monday"
"4415",3,"AM",2014-12-16,0.24,"kwh","Tuesday"
"4416",7,"PM",2014-04-22,0.535,"kwh","Tuesday"
"4417",4,"AM",2014-06-16,0.335,"kwh","Monday"
"4418",6,"PM",2014-10-14,0.781,"kwh","Tuesday"
"4419",5,"PM",2014-04-08,0.351,"kwh","Tuesday"
"4420",6,"PM",2014-10-15,0.764,"kwh","Wednesday"
"4421",2,"AM",2014-01-06,0.364,"kwh","Monday"
"4422",8,"AM",2014-06-30,0.742,"kwh","Monday"
"4423",3,"AM",2014-05-13,0.163,"kwh","Tuesday"
"4424",8,"PM",2014-10-06,1.008,"kwh","Monday"
"4425",7,"AM",2014-02-19,0.929,"kwh","Wednesday"
"4426",8,"PM",2014-10-12,0.961,"kwh","Sunday"
"4427",3,"AM",2014-12-14,0.37,"kwh","Sunday"
"4428",3,"AM",2014-04-17,0.051,"kwh","Thursday"
"4429",7,"PM",2014-11-17,0.899,"kwh","Monday"
"4430",11,"AM",2014-08-08,0.636,"kwh","Friday"
"4431",8,"PM",2014-11-02,0.859,"kwh","Sunday"
"4432",2,"AM",2014-12-26,0.189,"kwh","Friday"
"4433",2,"AM",2014-09-06,0.218,"kwh","Saturday"
"4434",10,"AM",2014-07-11,0.864,"kwh","Friday"
"4435",6,"AM",2014-02-14,1.44,"kwh","Friday"
"4436",9,"PM",2014-12-06,0.515,"kwh","Saturday"
"4437",12,"AM",2014-02-14,0.32,"kwh","Friday"
"4438",7,"PM",2014-03-13,1.656,"kwh","Thursday"
"4439",3,"AM",2014-06-04,0.414,"kwh","Wednesday"
"4440",7,"PM",2014-12-25,1.881,"kwh","Thursday"
"4441",12,"AM",2014-06-24,0.572,"kwh","Tuesday"
"4442",3,"AM",2014-02-11,0.245,"kwh","Tuesday"
"4443",5,"AM",2014-10-18,0.209,"kwh","Saturday"
"4444",2,"PM",2014-09-19,0.277,"kwh","Friday"
"4445",7,"AM",2014-02-05,1.048,"kwh","Wednesday"
"4446",8,"PM",2014-10-30,0.912,"kwh","Thursday"
"4447",3,"AM",2014-05-18,0.276,"kwh","Sunday"
"4448",2,"AM",2014-06-04,0.317,"kwh","Wednesday"
"4449",11,"AM",2014-11-11,0.2,"kwh","Tuesday"
"4450",7,"PM",2014-04-18,0.556,"kwh","Friday"
"4451",11,"PM",2014-06-23,1.044,"kwh","Monday"
"4452",11,"AM",2014-03-09,0.437,"kwh","Sunday"
"4453",12,"AM",2014-04-10,0.104,"kwh","Thursday"
"4454",8,"PM",2014-08-10,2.268,"kwh","Sunday"
"4455",2,"AM",2014-08-03,0.374,"kwh","Sunday"
"4456",1,"PM",2014-10-06,0.202,"kwh","Monday"
"4457",4,"AM",2014-09-20,0.25,"kwh","Saturday"
"4458",2,"AM",2014-07-19,0.828,"kwh","Saturday"
"4459",10,"PM",2014-11-23,0.254,"kwh","Sunday"
"4460",12,"AM",2014-10-20,0.187,"kwh","Monday"
"4461",4,"AM",2014-03-17,0.131,"kwh","Monday"
"4462",9,"PM",2014-05-30,0.368,"kwh","Friday"
"4463",3,"PM",2014-10-09,0.235,"kwh","Thursday"
"4464",11,"PM",2014-05-03,0.776,"kwh","Saturday"
"4465",8,"PM",2014-11-25,0.677,"kwh","Tuesday"
"4466",9,"PM",2014-09-18,0.504,"kwh","Thursday"
"4467",3,"AM",2014-09-12,0.147,"kwh","Friday"
"4468",1,"PM",2014-05-06,0.346,"kwh","Tuesday"
"4469",2,"PM",2014-11-05,0.209,"kwh","Wednesday"
"4470",10,"AM",2014-06-25,0.778,"kwh","Wednesday"
"4471",9,"PM",2014-09-22,0.395,"kwh","Monday"
"4472",9,"PM",2014-10-13,0.382,"kwh","Monday"
"4473",12,"PM",2014-12-11,0.501,"kwh","Thursday"
"4474",7,"AM",2014-07-20,3.254,"kwh","Sunday"
"4475",4,"PM",2014-10-07,0.242,"kwh","Tuesday"
"4476",3,"PM",2014-07-31,0.989,"kwh","Thursday"
"4477",6,"PM",2014-06-01,3.791,"kwh","Sunday"
"4478",5,"PM",2014-06-04,2.738,"kwh","Wednesday"
"4479",5,"PM",2014-11-22,0.478,"kwh","Saturday"
"4480",8,"PM",2014-05-23,1.152,"kwh","Friday"
"4481",12,"PM",2014-06-11,0.927,"kwh","Wednesday"
"4482",9,"AM",2014-02-04,0.36,"kwh","Tuesday"
"4483",7,"AM",2014-09-06,0.697,"kwh","Saturday"
"4484",4,"AM",2014-07-01,0.442,"kwh","Tuesday"
"4485",10,"AM",2014-11-29,0.267,"kwh","Saturday"
"4486",12,"AM",2014-02-19,0.292,"kwh","Wednesday"
"4487",6,"AM",2014-02-27,1.555,"kwh","Thursday"
"4488",1,"PM",2014-08-28,0.499,"kwh","Thursday"
"4489",9,"PM",2014-05-26,0.571,"kwh","Monday"
"4490",2,"AM",2014-04-28,0.058,"kwh","Monday"
"4491",4,"PM",2014-09-05,0.322,"kwh","Friday"
"4492",7,"PM",2014-08-13,2.074,"kwh","Wednesday"
"4493",10,"AM",2014-11-21,0.144,"kwh","Friday"
"4494",3,"AM",2014-07-15,0.384,"kwh","Tuesday"
"4495",10,"PM",2014-03-04,0.392,"kwh","Tuesday"
"4496",11,"AM",2014-10-22,0.357,"kwh","Wednesday"
"4497",10,"AM",2014-12-16,0.378,"kwh","Tuesday"
"4498",9,"PM",2014-07-31,1.382,"kwh","Thursday"
"4499",7,"AM",2014-04-07,0.321,"kwh","Monday"
"4500",5,"AM",2014-09-24,0.793,"kwh","Wednesday"
"4501",8,"AM",2014-10-16,0.216,"kwh","Thursday"
"4502",5,"PM",2014-12-15,1.602,"kwh","Monday"
"4503",6,"AM",2014-06-28,1.411,"kwh","Saturday"
"4504",8,"PM",2014-12-09,1.69,"kwh","Tuesday"
"4505",2,"PM",2014-05-10,0.576,"kwh","Saturday"
"4506",12,"PM",2014-03-20,0.476,"kwh","Thursday"
"4507",5,"AM",2014-07-02,2.825,"kwh","Wednesday"
"4508",11,"AM",2014-12-12,0.506,"kwh","Friday"
"4509",11,"PM",2014-11-16,0.232,"kwh","Sunday"
"4510",10,"AM",2014-05-03,0.466,"kwh","Saturday"
"4511",2,"AM",2014-06-27,0.389,"kwh","Friday"
"4512",11,"AM",2014-02-16,0.641,"kwh","Sunday"
"4513",11,"AM",2014-04-30,0.18,"kwh","Wednesday"
"4514",10,"PM",2014-07-03,1.2,"kwh","Thursday"
"4515",11,"AM",2014-12-08,0.512,"kwh","Monday"
"4516",3,"AM",2014-12-19,0.176,"kwh","Friday"
"4517",12,"PM",2014-09-17,0.371,"kwh","Wednesday"
"4518",1,"AM",2014-12-27,0.33,"kwh","Saturday"
"4519",6,"PM",2014-09-27,1.512,"kwh","Saturday"
"4520",3,"AM",2014-10-31,0.118,"kwh","Friday"
"4521",10,"AM",2014-12-12,0.493,"kwh","Friday"
"4522",1,"AM",2014-03-19,0.165,"kwh","Wednesday"
"4523",5,"AM",2014-12-22,1.416,"kwh","Monday"
"4524",4,"AM",2014-11-22,0.15,"kwh","Saturday"
"4525",8,"PM",2014-08-29,1.882,"kwh","Friday"
"4526",4,"AM",2014-08-10,0.41,"kwh","Sunday"
"4527",5,"PM",2014-12-29,1.516,"kwh","Monday"
"4528",2,"AM",2014-05-18,0.259,"kwh","Sunday"
"4529",11,"PM",2014-08-27,0.576,"kwh","Wednesday"
"4530",7,"PM",2014-01-08,3.492,"kwh","Wednesday"
"4531",4,"AM",2014-12-28,0.376,"kwh","Sunday"
"4532",3,"PM",2014-10-25,0.481,"kwh","Saturday"
"4533",12,"PM",2014-03-23,0.48,"kwh","Sunday"
"4534",8,"AM",2014-07-03,0.96,"kwh","Thursday"
"4535",11,"PM",2014-03-21,0.928,"kwh","Friday"
"4536",1,"PM",2014-04-30,0.125,"kwh","Wednesday"
"4537",3,"PM",2014-12-18,0.493,"kwh","Thursday"
"4538",11,"PM",2014-03-10,0.452,"kwh","Monday"
"4539",2,"AM",2014-11-25,0.073,"kwh","Tuesday"
"4540",5,"PM",2014-11-23,0.381,"kwh","Sunday"
"4541",10,"PM",2014-12-11,0.484,"kwh","Thursday"
"4542",9,"PM",2014-06-08,0.983,"kwh","Sunday"
"4543",4,"AM",2014-02-12,0.278,"kwh","Wednesday"
"4544",1,"AM",2014-05-31,0.271,"kwh","Saturday"
